"Pre_pri_sch_expectancy","Pri_sch_expectancy","Sec_sch_expectancy","Pri_sec_sch_expectancy","Lower_sec_completion","Upper_sec_completion","Gov_ex","Gov_ex_percent_GDP","Literacy_rate","Population","Pre_pri_enrolment_num","Pre_pri_enrolment_ratio","Pri_enrolment_num","Pri_enrolment_ratio","Pri_completion","Sec_enrolment_num","Sec_enrolment_ratio","Ter_enrolment_num","STEM_ter_grad_percent","Illiterate_pop","Pre_pri_pupil_teacher_ratio","Gov_ex_capita","Gov_ex_3","Log_gov_ex_3","PISA_math_new","PISA_sci_new","PISA_read_new","GDP_1","GDP_growth_1","GDP_capita_1","GDP_capita_growth_1"
1.52081,4.02704,6.23275,10.25979,97.09,46.95,281.92607,11.35797,NA,3011487,78765,51.28998,237975,100.67604,98.91,407403,77.90939,63257,NA,NA,NA,93.6168975658869,74.7164086646717,4.31369972885584,379.033920277778,384.365731411111,368.831229066667,8896073938,5.900083957,2972.743265,6.570331606
1.58889,3.91503,6.33516,10.25019,NA,NA,290.36372,10.93295,NA,2992547,78483,53.76874,222402,97.87571,NA,408980,79.18955,74747,NA,NA,NA,97.0289589436691,79.6625330304881,4.37779937527065,378.640704333333,385.948234933333,372.8275724,10677321490,5.979982036,3595.037163,6.783926591
1.61693,3.85383,6.57605,10.42987,NA,NA,315.87196,11.17719,NA,2970017,75781,54.83866,210125,96.34563,NA,410444,82.20059,86863,NA,NA,NA,106.353586528293,86.805360134446,4.46366837246068,378.247488388889,387.530738455556,376.823915733333,12881354104,7.49996956,4370.540127,8.328035999
1.73425,3.79024,6.73001,10.52024,NA,NA,NA,NA,95.93864,2947314,76278,58.60956,199454,95.6825,NA,406553,84.12509,90606,NA,91796,NA,NA,93.6168975658869,4.53921089674012,377.854272444444,389.113241977778,380.820259066667,12044223353,3.350066528,4114.140114,4.048888488
1.82301,4.59583,5.99865,10.59448,64.52068,48.16764,NA,NA,NA,2927519,75445,61.71825,236102,93.10456,98.19074,354587,85.69499,93139,NA,NA,NA,NA,97.0289589436691,4.57500947975847,377.4610565,390.6957455,384.8166024,11926928506,3.706892301,4094.350334,4.223037747
1.92551,4.60524,6.16727,10.77251,NA,NA,NA,NA,NA,2913021,74914,65.03855,224781,93.49047,NA,355871,88.10389,122326,NA,NA,NA,NA,106.353586528293,4.66676926489795,383.083815466667,392.9215682,387.8658189,12890765324,2.545321845,4437.142885,2.821557928
2.07566,4.67011,6.28587,10.95598,NA,NA,NA,NA,96.8453,2905195,76389,70.0033,215660,95.00608,NA,355158,89.79816,134877,13.78547,72533,NA,NA,NA,NA,388.706574433333,395.1473909,390.9150354,12319830252,1.417525992,4247.629984,1.585156475
2.29758,4.81449,6.46029,11.27478,NA,NA,NA,NA,97.24697,2900401,80488,77.32688,206617,97.58513,NA,349269,92.28983,160839,NA,63752,NA,NA,NA,NA,394.3293334,397.3732136,393.9642519,12776217195,1.00198715,4413.060861,1.187203907
2.43009,4.94288,6.71719,11.66008,NA,NA,413.02801,12.12391,NA,2895092,81865,81.55834,198897,99.98391,NA,346365,96.25608,174851,NA,NA,NA,142.664899768298,NA,NA,400.605222266667,407.323809066667,397.729101266667,13228144008,1.774486785,4578.631994,1.985426103
2.4896,5.14523,6.78121,11.92644,NA,NA,NA,NA,NA,2889104,81448,83.35005,195720,104.10804,NA,333291,97.68487,176003,NA,NA,NA,NA,NA,NA,406.881111133333,417.274404533333,401.493950633333,11386846319,2.218752232,3952.801215,2.516852986
